id,category,priority,tone,state,domain,format,text,filename,file,tags
fb-correct-after-retry-009,feedback.correct,must_have,warm,after_retry,any,,Strong persistence. That answer is right.,fb-correct-after-retry-009.mp3,future/feedback/correct/fb-correct-after-retry-009.mp3,correct|after_retry
fb-correct-after-retry-010,feedback.correct,must_have,warm,after_retry,any,,You made a smart adjustment.,fb-correct-after-retry-010.mp3,future/feedback/correct/fb-correct-after-retry-010.mp3,correct|after_retry
fb-correct-after-retry-011,feedback.correct,must_have,warm,after_retry,any,,Nice recovery. You did not stop at the first try.,fb-correct-after-retry-011.mp3,future/feedback/correct/fb-correct-after-retry-011.mp3,correct|after_retry
fb-correct-after-retry-012,feedback.correct,must_have,warm,after_retry,any,,That revision worked.,fb-correct-after-retry-012.mp3,future/feedback/correct/fb-correct-after-retry-012.mp3,correct|after_retry
fb-correct-after-retry-013,feedback.correct,must_have,warm,after_retry,any,,You listened to the clue and fixed it.,fb-correct-after-retry-013.mp3,future/feedback/correct/fb-correct-after-retry-013.mp3,correct|after_retry
fb-correct-after-retry-014,feedback.correct,must_have,warm,after_retry,any,,Great job checking your answer again.,fb-correct-after-retry-014.mp3,future/feedback/correct/fb-correct-after-retry-014.mp3,correct|after_retry
fb-correct-after-retry-015,feedback.correct,must_have,warm,after_retry,any,,That was flexible math thinking.,fb-correct-after-retry-015.mp3,future/feedback/correct/fb-correct-after-retry-015.mp3,correct|after_retry
fb-correct-after-retry-016,feedback.correct,must_have,warm,after_retry,any,,You learned from the first attempt.,fb-correct-after-retry-016.mp3,future/feedback/correct/fb-correct-after-retry-016.mp3,correct|after_retry
fb-correct-after-retry-017,feedback.correct,must_have,warm,after_retry,any,,You found the better strategy.,fb-correct-after-retry-017.mp3,future/feedback/correct/fb-correct-after-retry-017.mp3,correct|after_retry
fb-correct-after-retry-018,feedback.correct,must_have,warm,after_retry,any,,That answer is right after careful work.,fb-correct-after-retry-018.mp3,future/feedback/correct/fb-correct-after-retry-018.mp3,correct|after_retry
fb-correct-after-hint-001,feedback.correct,must_have,warm,after_hint,any,,That hint helped you spot the clue.,fb-correct-after-hint-001.mp3,future/feedback/correct/fb-correct-after-hint-001.mp3,correct|after_hint
fb-correct-after-hint-002,feedback.correct,must_have,warm,after_hint,any,,Nice use of the hint. You did the thinking.,fb-correct-after-hint-002.mp3,future/feedback/correct/fb-correct-after-hint-002.mp3,correct|after_hint
fb-correct-after-hint-003,feedback.correct,must_have,warm,after_hint,any,,You followed the strategy and got it.,fb-correct-after-hint-003.mp3,future/feedback/correct/fb-correct-after-hint-003.mp3,correct|after_hint
fb-correct-after-hint-004,feedback.correct,must_have,warm,after_hint,any,,Good job turning the hint into an answer.,fb-correct-after-hint-004.mp3,future/feedback/correct/fb-correct-after-hint-004.mp3,correct|after_hint
fb-correct-after-hint-005,feedback.correct,must_have,warm,after_hint,any,,"The helper gave you a start, and you finished it.",fb-correct-after-hint-005.mp3,future/feedback/correct/fb-correct-after-hint-005.mp3,correct|after_hint
fb-correct-after-hint-006,feedback.correct,must_have,warm,after_hint,any,,That is a strong way to use support.,fb-correct-after-hint-006.mp3,future/feedback/correct/fb-correct-after-hint-006.mp3,correct|after_hint
fb-correct-after-hint-007,feedback.correct,must_have,warm,after_hint,any,,You checked the visual and chose well.,fb-correct-after-hint-007.mp3,future/feedback/correct/fb-correct-after-hint-007.mp3,correct|after_hint
fb-correct-after-hint-008,feedback.correct,must_have,warm,after_hint,any,,"Nice. The hint pointed the way, and you solved it.",fb-correct-after-hint-008.mp3,future/feedback/correct/fb-correct-after-hint-008.mp3,correct|after_hint
fb-correct-after-hint-009,feedback.correct,must_have,warm,after_hint,any,,You used the step carefully.,fb-correct-after-hint-009.mp3,future/feedback/correct/fb-correct-after-hint-009.mp3,correct|after_hint
fb-correct-after-hint-010,feedback.correct,must_have,warm,after_hint,any,,Great learning moment.,fb-correct-after-hint-010.mp3,future/feedback/correct/fb-correct-after-hint-010.mp3,correct|after_hint
fb-correct-after-hint-011,feedback.correct,must_have,warm,after_hint,any,,You used the clue without guessing.,fb-correct-after-hint-011.mp3,future/feedback/correct/fb-correct-after-hint-011.mp3,correct|after_hint
fb-correct-after-hint-012,feedback.correct,must_have,warm,after_hint,any,,That hint unlocked the problem.,fb-correct-after-hint-012.mp3,future/feedback/correct/fb-correct-after-hint-012.mp3,correct|after_hint
fb-correct-after-hint-013,feedback.correct,must_have,warm,after_hint,any,,You made the helper work for you.,fb-correct-after-hint-013.mp3,future/feedback/correct/fb-correct-after-hint-013.mp3,correct|after_hint
fb-correct-after-hint-014,feedback.correct,must_have,warm,after_hint,any,,Nice job connecting the hint to the answer.,fb-correct-after-hint-014.mp3,future/feedback/correct/fb-correct-after-hint-014.mp3,correct|after_hint
fb-correct-after-hint-015,feedback.correct,must_have,warm,after_hint,any,,You saw what the hint was showing.,fb-correct-after-hint-015.mp3,future/feedback/correct/fb-correct-after-hint-015.mp3,correct|after_hint
fb-correct-after-hint-016,feedback.correct,must_have,warm,after_hint,any,,Good strategy use.,fb-correct-after-hint-016.mp3,future/feedback/correct/fb-correct-after-hint-016.mp3,correct|after_hint
fb-correct-after-hint-017,feedback.correct,must_have,warm,after_hint,any,,That support helped you finish strong.,fb-correct-after-hint-017.mp3,future/feedback/correct/fb-correct-after-hint-017.mp3,correct|after_hint
fb-correct-after-hint-018,feedback.correct,must_have,warm,after_hint,any,,You turned a clue into a solution.,fb-correct-after-hint-018.mp3,future/feedback/correct/fb-correct-after-hint-018.mp3,correct|after_hint
fb-correct-streak-001,feedback.correct,must_have,warm,streak,any,,That is a streak of strong thinking.,fb-correct-streak-001.mp3,future/feedback/correct/fb-correct-streak-001.mp3,correct|streak
fb-correct-streak-002,feedback.correct,must_have,warm,streak,any,,You are building momentum.,fb-correct-streak-002.mp3,future/feedback/correct/fb-correct-streak-002.mp3,correct|streak
fb-correct-streak-003,feedback.correct,must_have,warm,streak,any,,Another careful solve.,fb-correct-streak-003.mp3,future/feedback/correct/fb-correct-streak-003.mp3,correct|streak
fb-correct-streak-004,feedback.correct,must_have,warm,streak,any,,Your focus is adding up.,fb-correct-streak-004.mp3,future/feedback/correct/fb-correct-streak-004.mp3,correct|streak
fb-correct-streak-005,feedback.correct,must_have,warm,streak,any,,You are on a roll with smart choices.,fb-correct-streak-005.mp3,future/feedback/correct/fb-correct-streak-005.mp3,correct|streak
fb-correct-streak-006,feedback.correct,must_have,warm,streak,any,,That is steady math power.,fb-correct-streak-006.mp3,future/feedback/correct/fb-correct-streak-006.mp3,correct|streak
fb-correct-streak-007,feedback.correct,must_have,warm,streak,any,,You keep finding the important clue.,fb-correct-streak-007.mp3,future/feedback/correct/fb-correct-streak-007.mp3,correct|streak
fb-correct-streak-008,feedback.correct,must_have,warm,streak,any,,Nice streak. Stay careful.,fb-correct-streak-008.mp3,future/feedback/correct/fb-correct-streak-008.mp3,correct|streak
fb-correct-streak-009,feedback.correct,must_have,warm,streak,any,,You are solving with rhythm.,fb-correct-streak-009.mp3,future/feedback/correct/fb-correct-streak-009.mp3,correct|streak
fb-correct-streak-010,feedback.correct,must_have,warm,streak,any,,That is another one done well.,fb-correct-streak-010.mp3,future/feedback/correct/fb-correct-streak-010.mp3,correct|streak
fb-correct-streak-011,feedback.correct,must_have,warm,streak,any,,Your strategy is working again.,fb-correct-streak-011.mp3,future/feedback/correct/fb-correct-streak-011.mp3,correct|streak
fb-correct-streak-012,feedback.correct,must_have,warm,streak,any,,Keep that thoughtful pace.,fb-correct-streak-012.mp3,future/feedback/correct/fb-correct-streak-012.mp3,correct|streak
fb-correct-streak-013,feedback.correct,must_have,warm,streak,any,,You are making this look smooth.,fb-correct-streak-013.mp3,future/feedback/correct/fb-correct-streak-013.mp3,correct|streak
fb-correct-streak-014,feedback.correct,must_have,warm,streak,any,,Great run of answers.,fb-correct-streak-014.mp3,future/feedback/correct/fb-correct-streak-014.mp3,correct|streak
fb-correct-streak-015,feedback.correct,must_have,warm,streak,any,,You are stacking good thinking.,fb-correct-streak-015.mp3,future/feedback/correct/fb-correct-streak-015.mp3,correct|streak
fb-correct-streak-016,feedback.correct,must_have,warm,streak,any,,That streak came from focus.,fb-correct-streak-016.mp3,future/feedback/correct/fb-correct-streak-016.mp3,correct|streak
fb-correct-streak-017,feedback.correct,must_have,warm,streak,any,,You are moving through these with care.,fb-correct-streak-017.mp3,future/feedback/correct/fb-correct-streak-017.mp3,correct|streak
fb-correct-streak-018,feedback.correct,must_have,warm,streak,any,,Another correct answer for the trail.,fb-correct-streak-018.mp3,future/feedback/correct/fb-correct-streak-018.mp3,correct|streak
fb-correct-review-correct-001,feedback.correct,must_have,warm,review_correct,any,,Nice review. Your brain remembered this.,fb-correct-review-correct-001.mp3,future/feedback/correct/fb-correct-review-correct-001.mp3,correct|review_correct
fb-correct-review-correct-002,feedback.correct,must_have,warm,review_correct,any,,That old skill is still strong.,fb-correct-review-correct-002.mp3,future/feedback/correct/fb-correct-review-correct-002.mp3,correct|review_correct
fb-correct-review-correct-003,feedback.correct,must_have,warm,review_correct,any,,Good retrieval. You brought the strategy back.,fb-correct-review-correct-003.mp3,future/feedback/correct/fb-correct-review-correct-003.mp3,correct|review_correct
fb-correct-review-correct-004,feedback.correct,must_have,warm,review_correct,any,,Review win. You kept that idea fresh.,fb-correct-review-correct-004.mp3,future/feedback/correct/fb-correct-review-correct-004.mp3,correct|review_correct
fb-correct-review-correct-005,feedback.correct,must_have,warm,review_correct,any,,You remembered what to do.,fb-correct-review-correct-005.mp3,future/feedback/correct/fb-correct-review-correct-005.mp3,correct|review_correct
fb-correct-review-correct-006,feedback.correct,must_have,warm,review_correct,any,,That skill is staying with you.,fb-correct-review-correct-006.mp3,future/feedback/correct/fb-correct-review-correct-006.mp3,correct|review_correct
fb-correct-review-correct-007,feedback.correct,must_have,warm,review_correct,any,,Nice job on the review question.,fb-correct-review-correct-007.mp3,future/feedback/correct/fb-correct-review-correct-007.mp3,correct|review_correct
fb-correct-review-correct-008,feedback.correct,must_have,warm,review_correct,any,,You pulled that from memory.,fb-correct-review-correct-008.mp3,future/feedback/correct/fb-correct-review-correct-008.mp3,correct|review_correct
fb-correct-review-correct-009,feedback.correct,must_have,warm,review_correct,any,,That review answer is correct.,fb-correct-review-correct-009.mp3,future/feedback/correct/fb-correct-review-correct-009.mp3,correct|review_correct
fb-correct-review-correct-010,feedback.correct,must_have,warm,review_correct,any,,You kept the earlier skill alive.,fb-correct-review-correct-010.mp3,future/feedback/correct/fb-correct-review-correct-010.mp3,correct|review_correct
fb-retry-first-miss-001,feedback.retry,must_have,warm,first_miss,any,,Not quite yet. Take another look.,fb-retry-first-miss-001.mp3,future/feedback/retry/fb-retry-first-miss-001.mp3,retry|first_miss
fb-retry-first-miss-002,feedback.retry,must_have,warm,first_miss,any,,Close thinking. Check one part again.,fb-retry-first-miss-002.mp3,future/feedback/retry/fb-retry-first-miss-002.mp3,retry|first_miss
fb-retry-first-miss-003,feedback.retry,must_have,warm,first_miss,any,,Good try. There is one clue to revisit.,fb-retry-first-miss-003.mp3,future/feedback/retry/fb-retry-first-miss-003.mp3,retry|first_miss
fb-retry-first-miss-004,feedback.retry,must_have,warm,first_miss,any,,Almost. Slow down and test it.,fb-retry-first-miss-004.mp3,future/feedback/retry/fb-retry-first-miss-004.mp3,retry|first_miss
fb-retry-first-miss-005,feedback.retry,must_have,warm,first_miss,any,,You are near it. Try one more time.,fb-retry-first-miss-005.mp3,future/feedback/retry/fb-retry-first-miss-005.mp3,retry|first_miss
fb-retry-first-miss-006,feedback.retry,must_have,warm,first_miss,any,,That answer does not fit yet.,fb-retry-first-miss-006.mp3,future/feedback/retry/fb-retry-first-miss-006.mp3,retry|first_miss
fb-retry-first-miss-007,feedback.retry,must_have,warm,first_miss,any,,Pause and compare before you tap.,fb-retry-first-miss-007.mp3,future/feedback/retry/fb-retry-first-miss-007.mp3,retry|first_miss
fb-retry-first-miss-008,feedback.retry,must_have,warm,first_miss,any,,Look back at the picture.,fb-retry-first-miss-008.mp3,future/feedback/retry/fb-retry-first-miss-008.mp3,retry|first_miss
fb-retry-first-miss-009,feedback.retry,must_have,warm,first_miss,any,,Check the numbers one more time.,fb-retry-first-miss-009.mp3,future/feedback/retry/fb-retry-first-miss-009.mp3,retry|first_miss
fb-retry-first-miss-010,feedback.retry,must_have,warm,first_miss,any,,Try a different strategy.,fb-retry-first-miss-010.mp3,future/feedback/retry/fb-retry-first-miss-010.mp3,retry|first_miss
fb-retry-first-miss-011,feedback.retry,must_have,warm,first_miss,any,,Good effort. The next look matters.,fb-retry-first-miss-011.mp3,future/feedback/retry/fb-retry-first-miss-011.mp3,retry|first_miss
fb-retry-first-miss-012,feedback.retry,must_have,warm,first_miss,any,,Not yet. Search for the clue.,fb-retry-first-miss-012.mp3,future/feedback/retry/fb-retry-first-miss-012.mp3,retry|first_miss
fb-retry-first-miss-013,feedback.retry,must_have,warm,first_miss,any,,You can adjust one part.,fb-retry-first-miss-013.mp3,future/feedback/retry/fb-retry-first-miss-013.mp3,retry|first_miss
fb-retry-first-miss-014,feedback.retry,must_have,warm,first_miss,any,,Take a breath and check again.,fb-retry-first-miss-014.mp3,future/feedback/retry/fb-retry-first-miss-014.mp3,retry|first_miss
fb-retry-first-miss-015,feedback.retry,must_have,warm,first_miss,any,,This is a good time to slow down.,fb-retry-first-miss-015.mp3,future/feedback/retry/fb-retry-first-miss-015.mp3,retry|first_miss
fb-retry-first-miss-016,feedback.retry,must_have,warm,first_miss,any,,"The answer is close, but not that one.",fb-retry-first-miss-016.mp3,future/feedback/retry/fb-retry-first-miss-016.mp3,retry|first_miss
fb-retry-first-miss-017,feedback.retry,must_have,warm,first_miss,any,,Look at the visual before choosing again.,fb-retry-first-miss-017.mp3,future/feedback/retry/fb-retry-first-miss-017.mp3,retry|first_miss
fb-retry-first-miss-018,feedback.retry,must_have,warm,first_miss,any,,Try naming what you see first.,fb-retry-first-miss-018.mp3,future/feedback/retry/fb-retry-first-miss-018.mp3,retry|first_miss
fb-retry-repeated-miss-001,feedback.retry,must_have,warm,repeated_miss,any,,Let's use a hint before the next try.,fb-retry-repeated-miss-001.mp3,future/feedback/retry/fb-retry-repeated-miss-001.mp3,retry|repeated_miss
fb-retry-repeated-miss-002,feedback.retry,must_have,warm,repeated_miss,any,,This one is being tricky. We can break it into steps.,fb-retry-repeated-miss-002.mp3,future/feedback/retry/fb-retry-repeated-miss-002.mp3,retry|repeated_miss
fb-retry-repeated-miss-003,feedback.retry,must_have,warm,repeated_miss,any,,Pause with me. What do we know first?,fb-retry-repeated-miss-003.mp3,future/feedback/retry/fb-retry-repeated-miss-003.mp3,retry|repeated_miss
fb-retry-repeated-miss-004,feedback.retry,must_have,warm,repeated_miss,any,,Let's find the first clue together.,fb-retry-repeated-miss-004.mp3,future/feedback/retry/fb-retry-repeated-miss-004.mp3,retry|repeated_miss
fb-retry-repeated-miss-005,feedback.retry,must_have,warm,repeated_miss,any,,You do not have to guess. Use the visual helper.,fb-retry-repeated-miss-005.mp3,future/feedback/retry/fb-retry-repeated-miss-005.mp3,retry|repeated_miss
fb-retry-repeated-miss-006,feedback.retry,must_have,warm,repeated_miss,any,,Let's slow this one down.,fb-retry-repeated-miss-006.mp3,future/feedback/retry/fb-retry-repeated-miss-006.mp3,retry|repeated_miss
fb-retry-repeated-miss-007,feedback.retry,must_have,warm,repeated_miss,any,,Try naming the parts before choosing.,fb-retry-repeated-miss-007.mp3,future/feedback/retry/fb-retry-repeated-miss-007.mp3,retry|repeated_miss
fb-retry-repeated-miss-008,feedback.retry,must_have,warm,repeated_miss,any,,A smaller step will help here.,fb-retry-repeated-miss-008.mp3,future/feedback/retry/fb-retry-repeated-miss-008.mp3,retry|repeated_miss
fb-retry-repeated-miss-009,feedback.retry,must_have,warm,repeated_miss,any,,Let's check the picture and the answer choices.,fb-retry-repeated-miss-009.mp3,future/feedback/retry/fb-retry-repeated-miss-009.mp3,retry|repeated_miss
fb-retry-repeated-miss-010,feedback.retry,must_have,warm,repeated_miss,any,,We can solve this one piece at a time.,fb-retry-repeated-miss-010.mp3,future/feedback/retry/fb-retry-repeated-miss-010.mp3,retry|repeated_miss
fb-retry-repeated-miss-011,feedback.retry,must_have,warm,repeated_miss,any,,This problem needs a helper step.,fb-retry-repeated-miss-011.mp3,future/feedback/retry/fb-retry-repeated-miss-011.mp3,retry|repeated_miss
fb-retry-repeated-miss-012,feedback.retry,must_have,warm,repeated_miss,any,,Let's switch strategies.,fb-retry-repeated-miss-012.mp3,future/feedback/retry/fb-retry-repeated-miss-012.mp3,retry|repeated_miss
fb-retry-repeated-miss-013,feedback.retry,must_have,warm,repeated_miss,any,,The visual can show the answer.,fb-retry-repeated-miss-013.mp3,future/feedback/retry/fb-retry-repeated-miss-013.mp3,retry|repeated_miss
fb-retry-repeated-miss-014,feedback.retry,must_have,warm,repeated_miss,any,,"Try the hint, then choose again.",fb-retry-repeated-miss-014.mp3,future/feedback/retry/fb-retry-repeated-miss-014.mp3,retry|repeated_miss
fb-retry-repeated-miss-015,feedback.retry,must_have,warm,repeated_miss,any,,Let's look for what changed.,fb-retry-repeated-miss-015.mp3,future/feedback/retry/fb-retry-repeated-miss-015.mp3,retry|repeated_miss
fb-retry-repeated-miss-016,feedback.retry,must_have,warm,repeated_miss,any,,"This is a learning moment, not a stopping point.",fb-retry-repeated-miss-016.mp3,future/feedback/retry/fb-retry-repeated-miss-016.mp3,retry|repeated_miss
fb-retry-repeated-miss-017,feedback.retry,must_have,warm,repeated_miss,any,,We can make this easier to see.,fb-retry-repeated-miss-017.mp3,future/feedback/retry/fb-retry-repeated-miss-017.mp3,retry|repeated_miss
fb-retry-repeated-miss-018,feedback.retry,must_have,warm,repeated_miss,any,,Let's solve the first part together.,fb-retry-repeated-miss-018.mp3,future/feedback/retry/fb-retry-repeated-miss-018.mp3,retry|repeated_miss
fb-retry-idk-001,feedback.retry,must_have,warm,idk,any,,Good choice asking for help.,fb-retry-idk-001.mp3,future/feedback/retry/fb-retry-idk-001.mp3,retry|idk
fb-retry-idk-002,feedback.retry,must_have,warm,idk,any,,It is smart to use a hint when you need one.,fb-retry-idk-002.mp3,future/feedback/retry/fb-retry-idk-002.mp3,retry|idk
fb-retry-idk-003,feedback.retry,must_have,warm,idk,any,,Let's make the problem easier.,fb-retry-idk-003.mp3,future/feedback/retry/fb-retry-idk-003.mp3,retry|idk
fb-retry-idk-004,feedback.retry,must_have,warm,idk,any,,You asked for support. That is learning.,fb-retry-idk-004.mp3,future/feedback/retry/fb-retry-idk-004.mp3,retry|idk
fb-retry-idk-005,feedback.retry,must_have,warm,idk,any,,We can start with one small clue.,fb-retry-idk-005.mp3,future/feedback/retry/fb-retry-idk-005.mp3,retry|idk
fb-retry-idk-006,feedback.retry,must_have,warm,idk,any,,Let's look at the visual together.,fb-retry-idk-006.mp3,future/feedback/retry/fb-retry-idk-006.mp3,retry|idk
fb-retry-idk-007,feedback.retry,must_have,warm,idk,any,,No guessing needed. We can use a strategy.,fb-retry-idk-007.mp3,future/feedback/retry/fb-retry-idk-007.mp3,retry|idk
fb-retry-idk-008,feedback.retry,must_have,warm,idk,any,,A hint can help you see the first step.,fb-retry-idk-008.mp3,future/feedback/retry/fb-retry-idk-008.mp3,retry|idk
fb-retry-idk-009,feedback.retry,must_have,warm,idk,any,,Let's find what the problem is asking.,fb-retry-idk-009.mp3,future/feedback/retry/fb-retry-idk-009.mp3,retry|idk
fb-retry-idk-010,feedback.retry,must_have,warm,idk,any,,Good pause. Now let's choose a helper.,fb-retry-idk-010.mp3,future/feedback/retry/fb-retry-idk-010.mp3,retry|idk
fb-hint-intro-001,feedback.hint,must_have,warm,intro,any,,Here is a small clue.,fb-hint-intro-001.mp3,future/feedback/hint/fb-hint-intro-001.mp3,hint|intro
fb-hint-intro-002,feedback.hint,must_have,warm,intro,any,,Let's make the problem easier to see.,fb-hint-intro-002.mp3,future/feedback/hint/fb-hint-intro-002.mp3,hint|intro
fb-hint-intro-003,feedback.hint,must_have,warm,intro,any,,Try this helper.,fb-hint-intro-003.mp3,future/feedback/hint/fb-hint-intro-003.mp3,hint|intro
fb-hint-intro-004,feedback.hint,must_have,warm,intro,any,,Look at it this way.,fb-hint-intro-004.mp3,future/feedback/hint/fb-hint-intro-004.mp3,hint|intro
fb-hint-intro-005,feedback.hint,must_have,warm,intro,any,,I will show one step.,fb-hint-intro-005.mp3,future/feedback/hint/fb-hint-intro-005.mp3,hint|intro
fb-hint-intro-006,feedback.hint,must_have,warm,intro,any,,Let's use the picture.,fb-hint-intro-006.mp3,future/feedback/hint/fb-hint-intro-006.mp3,hint|intro
fb-hint-intro-007,feedback.hint,must_have,warm,intro,any,,Here comes a strategy clue.,fb-hint-intro-007.mp3,future/feedback/hint/fb-hint-intro-007.mp3,hint|intro
fb-hint-intro-008,feedback.hint,must_have,warm,intro,any,,This hint can help you check.,fb-hint-intro-008.mp3,future/feedback/hint/fb-hint-intro-008.mp3,hint|intro
fb-hint-intro-009,feedback.hint,must_have,warm,intro,any,,Try the visual first.,fb-hint-intro-009.mp3,future/feedback/hint/fb-hint-intro-009.mp3,hint|intro
fb-hint-intro-010,feedback.hint,must_have,warm,intro,any,,Let's find the important part.,fb-hint-intro-010.mp3,future/feedback/hint/fb-hint-intro-010.mp3,hint|intro
fb-hint-intro-011,feedback.hint,must_have,warm,intro,any,,Here is the first clue.,fb-hint-intro-011.mp3,future/feedback/hint/fb-hint-intro-011.mp3,hint|intro
fb-hint-intro-012,feedback.hint,must_have,warm,intro,any,,Use this to get started.,fb-hint-intro-012.mp3,future/feedback/hint/fb-hint-intro-012.mp3,hint|intro
fb-hint-strategy-001,feedback.hint,must_have,warm,strategy,any,,"Think about the strategy, then choose.",fb-hint-strategy-001.mp3,future/feedback/hint/fb-hint-strategy-001.mp3,hint|strategy
fb-hint-strategy-002,feedback.hint,must_have,warm,strategy,any,,Start with what you know.,fb-hint-strategy-002.mp3,future/feedback/hint/fb-hint-strategy-002.mp3,hint|strategy
fb-hint-strategy-003,feedback.hint,must_have,warm,strategy,any,,Break the problem into smaller parts.,fb-hint-strategy-003.mp3,future/feedback/hint/fb-hint-strategy-003.mp3,hint|strategy
fb-hint-strategy-004,feedback.hint,must_have,warm,strategy,any,,Compare before you calculate.,fb-hint-strategy-004.mp3,future/feedback/hint/fb-hint-strategy-004.mp3,hint|strategy
fb-hint-strategy-005,feedback.hint,must_have,warm,strategy,any,,Name the parts first.,fb-hint-strategy-005.mp3,future/feedback/hint/fb-hint-strategy-005.mp3,hint|strategy
fb-hint-strategy-006,feedback.hint,must_have,warm,strategy,any,,Use the model to test your answer.,fb-hint-strategy-006.mp3,future/feedback/hint/fb-hint-strategy-006.mp3,hint|strategy
